condition,prediction,accuracy,numerosity,fitness,selected_feature_indices,original_feature_indices,correct_count,match_count
"[[-0.07869527190923709, 4.678082440793514], [0.14765142649412155, 6.848194845020771], [0.35408629745244946, 6.544960600435735], [-1.7641605019569397, 4.455436258316039]]",Anomalous,0.926829268292683,2,0.46773233998717534,"[40, 48, 15, 16]","[1049, 1262, 474, 496]",38,41
"[[-1.6227943122386934, 2.8923924192786217], [0.06150343477726006, 4.25525853574276], [-1.8260549545288087, 0.910751874446869], [1.8896980887651442, 6.885842263102532], [-1.9531167209148408, 3.266707724928856], [-1.3166036960482597, 3.052837526500225], [-1.7309508681297303, 3.257599657177925]]",Anomalous,0.8571428571428571,2,0.21405831560130767,"[49, 34, 33, 15, 12, 19, 36]","[1263, 840, 830, 474, 345, 565, 882]",6,7
"[[-1.6227943122386934, 2.8923924192786217], [0.06150343477726006, 4.25525853574276], [-1.8260549545288087, 0.910751874446869], [1.8896980887651442, 6.885842263102532], [-1.9531167209148408, 3.266707724928856], [-1.3166036960482597, 3.052837526500225]]",Anomalous,0.8461538461538461,2,0.18814528037496547,"[49, 34, 33, 15, 12, 19]","[1263, 840, 830, 474, 345, 565]",11,13
"[[0.14765142649412155, 6.848194845020771], [0.35408629745244946, 6.544960600435735], [-0.20549165248870827, 5.334780325889588], [-1.692567104101181, 2.891884127259255], [-1.5301335322856904, 3.6963441836833955], [-1.2885315489768985, 4.829283006191254]]",Anomalous,0.7777777777777778,2,0.08101311022241207,"[48, 15, 7, 20, 29, 45]","[1262, 474, 228, 566, 746, 1147]",7,9
"[[1.8896980887651442, 7.8681886693871395], [-1.9531167209148408, 3.266707724928856], [-1.3553105890750885, 3.0949231684207916]]",Anomalous,0.6774193548387096,2,0.02035054334159614,"[15, 12, 46]","[474, 345, 1205]",21,31
"[[0.14765142649412155, 7.9829153724181925], [1.1763748466968535, 6.583062237501144], [-1.8499676644802094, 2.9519479566812517], [-1.8356576323509217, 4.184756052643061]]",Anomalous,0.6666666666666666,2,0.017341529915832606,"[48, 49, 7, 29]","[1262, 1263, 228, 746]",2,3
"[[-0.07869527190923709, 4.678082440793514], [0.9300264477729798, 4.918055617809296]]",Anomalous,0.6575342465753424,2,0.015107192827213485,"[40, 8]","[1049, 239]",48,73
"[[-0.07869527190923709, 4.678082440793514], [0.579165145456791, 3.8893545421957967]]",Anomalous,0.5306122448979592,2,0.0017691826815251254,"[40, 4]","[1049, 140]",52,98
"[[-2.5691053217649458, 1.7591201013326643], [-0.18054989725351334, 2.2320456877350807], [-3.165356650948525, 3.831637337803841], [-0.7118946880102159, 5.279513058066368], [1.1044598197937012, 5.171438636779785], [-3.8701671525835994, 4.089795084297657], [3.9236804896593096, 6.668971831202507], [-0.22677694678306604, 2.814354289770127], [-0.18058345973491674, 3.7782707041502], [0.12377948045730602, 4.116151626110077], [0.148958386182785, 3.7070913898944857], [-0.7298170322179796, 3.3278344863653184]]",Anomalous,1.0,1,1.0,"[13, 20, 24, 9, 33, 26, 36, 15, 44, 37, 43, 4]","[408, 566, 680, 240, 830, 717, 882, 474, 1123, 963, 1094, 140]",2,2
"[[5.0190515369176865, 7.859528556466103]]",Anomalous,1.0,1,1.0,[29],[746],11,11
"[[1.240755319732738, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.6931957185268403, 2.089929431974888], [-1.6900122523307801, 2.759394053220749], [-1.680296015739441, 1.6251187121868136]]",Normal,1.0,1,1.0,"[15, 32, 49, 23, 31, 37, 47, 22, 34, 28]","[474, 825, 1263, 659, 817, 963, 1216, 613, 840, 743]",5,5
"[[-0.07869527190923709, 4.678082440793514], [3.26337050139904, 7.025436413884163], [4.147693161070347, 0.24646444916725163]]",Anomalous,1.0,1,0.1,"[40, 36, 31]","[1049, 882, 817]",0,0
"[[-0.07869527190923709, 4.678082440793514], [1.408776108920574, 7.75085371285677], [-1.692567104101181, 2.891884127259255], [3.26337050139904, 7.025436413884163], [-0.20549165248870827, 5.334780325889588]]",Anomalous,1.0,1,1.0,"[40, 10, 20, 36, 7]","[1049, 245, 566, 882, 228]",8,8
"[[2.6636253863884587, 3.9594267487525943], [-1.7368550598621368, 3.563653053343296], [1.1531248986721034, 8.907626062631607]]",Anomalous,1.0,1,1.0,"[27, 6, 8]","[733, 223, 239]",5,5
"[[0.9300264477729798, 4.918055617809296], [0.14765142649412155, 6.848194845020771], [1.1763748466968535, 6.583062237501144]]",Anomalous,1.0,1,1.0,"[8, 48, 49]","[239, 1262, 1263]",15,15
"[[0.9300264477729798, 4.918055617809296], [0.14765142649412155, 6.848194845020771], [1.1763748466968535, 6.583062237501144], [5.026534233093262, 0.3385523676872254]]",Anomalous,1.0,1,0.1,"[8, 48, 49, 30]","[239, 1262, 1263, 766]",0,0
"[[0.9300264477729798, 4.918055617809296], [0.14765142649412155, 6.848194845020771], [1.1763748466968535, 6.583062237501144], [2.202068034410477, 5.773335274457931]]",Anomalous,1.0,1,1.0,"[8, 48, 49, 18]","[239, 1262, 1263, 513]",9,9
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.6811786472797394, 1.2605786016583442], [-1.2112549889119049, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.71348152756691, 2.0750468742847445], [0.9455555039644243, 2.3819000799784034], [-1.6227943122386934, 1.6008550608158112], [-1.82147895693779, 0.9656536144018173]]",Normal,1.0,1,1.0,"[15, 32, 31, 37, 47, 35, 16, 49, 45]","[474, 825, 817, 963, 1216, 847, 496, 1263, 1147]",32,32
"[[7.859528556466103, 9.570336308465041]]",Anomalous,1.0,1,1.0,[29],[746],1,1
"[[0.9300264477729798, 4.918055617809296], [2.5689749565720557, 7.344875827729702], [1.1422255262732506, 3.8575212731957436]]",Anomalous,1.0,1,1.0,"[8, 19, 15]","[239, 565, 474]",6,6
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.8440534591674804, 2.0950475454330446], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.7641605019569397, -1.7596967210004901], [-1.6931957185268403, 2.089929431974888], [-1.7288547396659852, 1.2576001942157744]]",Normal,1.0,1,0.1,"[15, 32, 23, 31, 37, 47, 16, 22, 43]","[474, 825, 659, 817, 963, 1216, 496, 613, 1094]",0,0
